,Demanda
2024-03-01 12:00:00,10453909.85
2024-03-01 13:00:00,10396734.62
2024-03-01 14:00:00,10560375.99
2024-03-01 15:00:00,10834348.97
2024-03-01 16:00:00,10844525.26
2024-03-01 17:00:00,10648900.16
2024-03-01 18:00:00,10351362.79
2024-03-01 19:00:00,10750086.13
2024-03-01 20:00:00,10966415.42
2024-03-01 21:00:00,10762646.46
2024-03-01 22:00:00,10306481.59
2024-03-01 23:00:00,9787502.71
2024-03-02 00:00:00,9193336.17
2024-03-02 01:00:00,8654324.23
2024-03-02 02:00:00,8342329.02
2024-03-02 03:00:00,8096092.09
2024-03-02 04:00:00,7970589.38
2024-03-02 05:00:00,7976858.97
2024-03-02 06:00:00,8112750.11
2024-03-02 07:00:00,8177787.98
2024-03-02 08:00:00,8631976.27
2024-03-02 09:00:00,9238947.81
2024-03-02 10:00:00,9690827.67
2024-03-02 11:00:00,9998323.57
2024-03-02 12:00:00,10196625.54
2024-03-02 13:00:00,10155557.54
2024-03-02 14:00:00,10066829.4
2024-03-02 15:00:00,10054846.9
2024-03-02 16:00:00,9931026.85
2024-03-02 17:00:00,9832524.35
2024-03-02 18:00:00,9769938.19
2024-03-02 19:00:00,10328576.8
2024-03-02 20:00:00,10463132.07
2024-03-02 21:00:00,10162885.61
2024-03-02 22:00:00,9795500.12
2024-03-02 23:00:00,9352659.42
2024-03-03 00:00:00,8721765.31
2024-03-03 01:00:00,8313454.01
2024-03-03 02:00:00,7966318.24
2024-03-03 03:00:00,7678337.52
2024-03-03 04:00:00,7484080.24
2024-03-03 05:00:00,7348890.06
2024-03-03 06:00:00,7304816.09
2024-03-03 07:00:00,7087243.29
2024-03-03 08:00:00,7309648.5
2024-03-03 09:00:00,7556870.22
2024-03-03 10:00:00,7928996.77
2024-03-03 11:00:00,8291614.16
2024-03-03 12:00:00,8536064.41
2024-03-03 13:00:00,8653388.76
2024-03-03 14:00:00,8721350.5
2024-03-03 15:00:00,8636385.3
2024-03-03 16:00:00,8606195.25
2024-03-03 17:00:00,8594199.32
